Date,Team,Acquired,Relinquished,Notes
 Date, Team, Acquired, Relinquished, Notes
2018-04-05,Cavaliers,• London Perrantes,,activated from IL
2018-04-05,Nets,,• DeMarre Carroll,placed on IL with strained left hip (out for season)
2018-04-05,Nets,,• Jahlil Okafor,placed on IL with sprained right ankle
2018-04-05,Nets,• Allen Crabbe,,activated from IL
2018-04-05,Nets,• James Webb III,,activated from IL
2018-04-05,Rockets,,• Eric Gordon,placed on IL with sore left ankle / foot
2018-04-05,Rockets,,• Ryan Anderson,placed on IL with sprained left ankle
2018-04-05,Rockets,• R.J. Hunter,,activated from IL
2018-04-05,Rockets,• Zhou Qi / Qi Zhou,,activated from IL
2018-04-05,Timberwolves,,• Justin Patton,placed on IL with illness (out for season)
2018-04-05,Timberwolves,• Derrick Rose,,activated from IL
2018-04-05,Warriors,• Kevon Looney,,activated from IL
2018-04-06,76ers,,• Demetrius Jackson,placed on IL
2018-04-06,76ers,• Dario Saric,,activated from IL
2018-04-06,Bulls,,• Noah Vonleh,placed on IL with strained left calf (out for season)
2018-04-06,Celtics,,• Al Horford,placed on IL for rest
2018-04-06,Celtics,,• Jayson Tatum,placed on IL for rest
2018-04-06,Celtics,• Shane Larkin,,activated from IL
2018-04-06,Hawks,,• Josh Magette,placed on IL
2018-04-06,Hawks,,• Tyler Cavanaugh,placed on IL
2018-04-06,Hawks,• DeAndre' Bembry / DeAndre Bembry,,activated from IL
2018-04-06,Heat,,• Derrick Jones Jr.,placed on IL
2018-04-06,Heat,,• Derrick Walton Jr.,placed on IL
2018-04-06,Heat,,• Jordan Mickey,placed on IL
2018-04-06,Heat,• Dwyane Wade,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2018-04-06,Heat,• Goran Dragic,,activated from IL
2018-04-06,Heat,• James Johnson,,activated from IL
2018-04-06,Hornets,• Marcus Paige,,activated from IL
2018-04-06,Kings,,• Skal Labissiere,placed on IL with sprained left ankle (out for season)
2018-04-06,Knicks,,• Lance Thomas,placed on IL with illness
2018-04-06,Knicks,• Michael Beasley,,activated from IL
2018-04-06,Lakers,• Gary Payton II,,activated from IL
2018-04-06,Lakers,• Thomas Bryant,,activated from IL
2018-04-06,Mavericks,,• Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with strained left oblique (out for season)
2018-04-06,Mavericks,• Dennis Smith Jr.,,activated from IL
2018-04-06,Mavericks,• Dwight Powell,,activated from IL
2018-04-06,Mavericks,• Harrison Barnes,,activated from IL
2018-04-06,Pistons,,• Reggie Bullock,placed on IL with swollen left knee (out for season)
2018-04-06,Pistons,• Reggie Hearn,,activated from IL
2018-04-06,Timberwolves,,• Amile Jefferson,placed on IL
2018-04-06,Timberwolves,,• Anthony Brown,placed on IL
2018-04-06,Timberwolves,• Cole Aldrich,,activated from IL
2018-04-06,Timberwolves,• Jimmy Butler,,activated from IL
