Date,Team,Acquired,Relinquished,Notes
1998-01-01,Celtics,,• Greg Minor,placed on IL with flu
1998-01-01,Sonics,,• James Cotton,placed on IL with right knee patella tendinitis
1998-01-02,Blazers,,• Dontonio Wingfield,placed on IR with left wrist tendinitis
1998-01-02,Blazers,• Jermaine O'Neal,,activated from IL
1998-01-02,Blazers,• Sean Higgins,,activated from IL
1998-01-02,Bullets,,• Lorenzo Williams,placed on IL with flu / sore knees (P)
1998-01-02,Bullets,• Tim Legler,,activated from IL
1998-01-02,Cavaliers,,• Mitchell Butler,placed on IL with herniated disc in neck
1998-01-02,Cavaliers,• Tony Dumas,,activated from IL
1998-01-02,Celtics,• Pervis Ellison,,activated from IL
1998-01-02,Mavericks,,• Chris Anstey,placed on IL with sprained left ankle
1998-01-02,Mavericks,• Erick Strickland,,activated from IL
1998-01-02,Rockets,,• Joe Stephens,placed on IL with patella tendinitis
1998-01-02,Rockets,• Rodrick Rhodes,,activated from IL
1998-01-02,Sonics,• Stephen Howard,,activated from IL
1998-01-03,Pistons,• Rick Mahorn,,activated from IL
1998-01-06,Celtics,,• Tyus Edney,placed on IL with flu
1998-01-06,Celtics,• John Thomas,,activated from IL
1998-01-06,Spurs,• Charles Smith (Daniel),,activated from IL
1998-01-07,Blazers,,• Brian Grant,placed on IR with left leg stress reaction
1998-01-07,Blazers,• Alton Lister,,activated from IL
1998-01-07,Nets,• Lucious Harris,,activated from IL
1998-01-07,Warriors,,• Tyrone Bogues / Muggsy Bogues,placed in IR with small tear in right hamstring
1998-01-08,Bucks,• Jerald Honeycutt,,activated from IL
1998-01-08,Nets,,• Yinka Dare,placed on IR with right ankle synovitis
1998-01-09,Hawks,,• Ed Gray,placed on IL with sprained right foot
1998-01-09,Hawks,,• Mookie Blaylock,placed on IR with reoccurring left groin strain
1998-01-10,Bulls,,• Bill Wennington,placed on IL with elbow synovitis
1998-01-10,Bulls,• Scottie Pippen,,activated from IL
1998-01-10,Celtics,,• Pervis Ellison,placed on IL with sprained right ankle
1998-01-10,Celtics,• Greg Minor,,activated from IL
1998-01-10,Rockets,,• Clyde Drexler,placed on IL with sore right shoulder
1998-01-10,Rockets,• Joe Stephens,,activated from IL
1998-01-12,Raptors,,• Walt Williams,placed on IL with hyperextended left knee
1998-01-12,Raptors,• Carlos Rogers,,activated from IL
1998-01-12,Grizzlies,• Doug Edwards,,activated from IL
1998-01-12,Grizzlies,• Marcus Brown,,activated from IL
1998-01-13,76ers,,• Kebu Stewart,placed on IR with plantar fasciitis in right foot
1998-01-13,76ers,• Scott Williams,,activated from IL
1998-01-13,Magic,,• Johnny Taylor,placed on IL with strained right shoulder
1998-01-13,Magic,• Nick Anderson,,activated from IL
1998-01-13,Spurs,,• Malik Rose,placed on IL with left knee tendinitis
1998-01-13,Spurs,• Vinny Del Negro,,activated from IL
1998-01-14,Hornets,,• Bobby Phills,placed on IR with pulled left groin
1998-01-16,Bulls,,• Steve Kerr,placed on IR with fractured left clavicle (out 6-8 weeks)
1998-01-16,Bulls,• Rusty LaRue,,activated from IL
1998-01-16,Hawks,,• Randy Livingston,hamstring injury (DNP)
1998-01-16,Hawks,,• Tyrone Corbin,sore lower back (DTD)
1998-01-16,Mavericks,,• Bubba Wells,placed on IL with sprained right big toe
1998-01-16,Pistons,,• Scot Pollard,placed on IL with strained right groin
1998-01-17,Mavericks,• Chris Anstey,,activated from IL
1998-01-17,Sonics,,• Eric Snow,placed on IL with sprained right ankle
1998-01-17,Sonics,• Jerome Kersey,,activated from IL
1998-01-18,Celtics,,• Roy Rogers,placed on IL with flu
1998-01-18,Celtics,• Tyus Edney,,activated from IL
1998-01-18,Sonics,• Eric Snow,,activated from IL
1998-01-19,Hornets,,• Dell Curry,placed on IL with strained right calf
1998-01-19,Kings,,• Kevin Salvadori,placed on IL with left knee tendinitis
1998-01-19,Kings,• Michael Smith (John) (Providence),,activated from IL
1998-01-20,Hawks,• Mookie Blaylock,,activated from IL
1998-01-20,Warriors,• Tyrone Bogues / Muggsy Bogues,,activated from IL
1998-01-21,Heat,,• Mark Strickland,placed on IL with broken right index finger
1998-01-21,Hornets,,• Vlade Divac,placed on IL with surgery on left knee (out indefinitely)
1998-01-21,Rockets,,• Joe Stephens,placed on IL with patella tendinitis
1998-01-21,Rockets,• Clyde Drexler,,activated from IL
1998-01-21,Spurs,,• Sean Elliott,placed on IL with left knee tendinitis
1998-01-21,Spurs,• Malik Rose,,activated from IL
1998-01-22,Bulls,,• Joe Kleine,placed on IL with left knee tendinitis
1998-01-22,Magic,,• Jason Lawson,placed on IL with strained groin
1998-01-22,Pacers,,• Etdrick Bohannon,placed on IR with strained abdomen & pulled groin
1998-01-23,Bulls,• Bill Wennington,,activated from IL
1998-01-23,Magic,• Derek Strong,,activated from IL
1998-01-23,Pacers,• Mark West (Andre),,activated from IL
1998-01-24,Nets,• Chris Gatling,,activated from IL
1998-01-24,Raptors,,• Chris Garner,placed on IL with right ankle tendinitis
1998-01-24,Raptors,• Walt Williams,,activated from IL
1998-01-26,Pistons,,• Charles O'Bannon,placed on IL with strained lower back
1998-01-26,Pistons,• Lindsey Hunter,,activated from IL
1998-01-27,Warriors,,• Tyrone Bogues / Muggsy Bogues,placed on IL with strained right hamstring
1998-01-27,Warriors,• David Vaughn (III),,activated from IL
1998-01-29,Hornets,• Bobby Phills,,activated from IL
1998-01-29,Knicks,,• Ron Grandison / Ronnie Grandison,placed on IL with left knee patellar tendinitis
1998-01-29,Magic,• Anfernee Hardaway / Penny Hardaway,,activated from IL
1998-01-29,Sonics,,• Jerome Kersey,placed on IL with separated left shoulder
1998-01-29,Sonics,• James Cotton,,activated from IL
1998-01-30,Cavaliers,• Bob Sura,,activated from IL
1998-01-30,Heat,,• Terry Mills,placed on IL with left knee inflammation
1998-01-30,Heat,• Charles Smith (Cornelius),,activated from IL
1998-01-30,Mavericks,,• Robert Pack,placed on IR with torn ligaments in right thumb
1998-01-30,Mavericks,• Bubba Wells,,activated from IL
1998-01-30,Suns,,• Cedric Ceballos,placed on IL with strained right calf
1998-01-30,Suns,• Horacio Llamas,,activated from IL
1998-01-30,Timberwolves,,• Chris Carr (Dean),placed on IL with sprained left ankle
1998-01-30,Timberwolves,• DeJuan Wheat,,activated from IL
1998-01-31,Bulls,,• Rusty LaRue,placed on IL with left Achilles tendinitis
1998-01-31,Suns,• Kevin Johnson,,activated from IL
1998-02-02,Cavaliers,,• Derek Anderson,placed on IL with sprained MCL in right knee
1998-02-02,Hawks,,• Dikembe Mutombo,left game with bruised tailbone
1998-02-02,Hornets,,• Bobby Phills,placed on IL with strained left groin
1998-02-02,Nuggets,,• Harold Ellis,placed on IR with ankle injury / torn cartilage in right knee (P)
1998-02-02,Nuggets,• George Zidek,,activated from IL
1998-02-17,Sonics,,• James Cotton,placed on IL with strained right calf
1998-02-17,Sonics,• Nate McMillan,,activated from IL
1998-02-17,Warriors,• Brian Shaw,,activated from IL
1998-02-18,Celtics,• John Thomas,,activated from IL
1998-02-18,Grizzlies,,• Ivano Newbill,placed on IL with right knee tendinitis
1998-02-18,Grizzlies,• Anthony Peeler,,activated from IL
1998-02-18,Raptors,,• Alvin Williams,placed on IL with right knee surgery (out 2-3 weeks)
1998-02-18,Raptors,,• Chris Garner,placed on IL with right Achilles tendinitis
1998-02-18,Raptors,• Ronald Jones / Popeye Jones,,activated from IL
1998-02-18,Raptors,• Zan Tabak,,activated from IL
1998-02-19,76ers,,• Anthony Parker,placed on IL with sprained MCL in right knee
1998-02-19,Clippers,,• James Collins,placed on IL with strained lower back
1998-02-19,Knicks,• Ron Grandison / Ronnie Grandison,,activated from IL
1998-02-19,Magic,,• Mark Price,placed on IR with ligament damage in left thumb (out 2-4 weeks)
1998-02-19,Magic,• Jason Lawson,,activated from IL
1998-02-19,Nets,• Yinka Dare,,activated from IL
1998-02-19,Pistons,,• Grant Long,placed on IL with fractured right foot
1998-02-19,Pistons,• Charles O'Bannon,,activated from IL
1998-02-20,Celtics,,• Ronald Jones / Popeye Jones,placed on IR with torn left ACL (out for season)
1998-02-20,Celtics,,• Zan Tabak,placed on IR with fractured right hand (out 4-6 weeks)
1998-02-20,Celtics,• Dontae' Jones,,activated from IL
1998-02-20,Celtics,• Pervis Ellison,,activated from IL
1998-02-20,Hornets,• Bobby Phills,,activated from IL
1998-02-20,Kings,• Kevin Gamble,,activated from IL
1998-02-20,Kings,• Lawrence Funderburke,,activated from IL
1998-02-20,Knicks,,• Buck Williams,placed on IL with sore left knee
1998-02-20,Nets,• Don MacLean,,activated from IL
1998-02-20,Nuggets,,• Bobby Jackson,placed on IR with fractured right ring finger
1998-02-20,Nuggets,• Bryant Stith,,activated from IL
1998-02-20,Spurs,,• Chuck Person,placed on IL with lower back pain
