name,age,season,Notes
Vince Carter,43.0,22.0,12
Dirk Nowitzki,40.0,21.0,18
Kobe Bryant,37.0,20.0,17
Kevin Garnett,40.0,20.0,23
Jason Terry,42.0,19.0,8
Paul Pierce,39.0,19.0,13
Tim Duncan,40.0,19.0,27
Derek Fisher,39.0,18.0,6
Steve Nash,41.0,18.0,5
Ray Allen,41.0,18.0,14
Nazr Mohammed,39.0,18.0,13
Elton Brand,37.0,17.0,14
Chauncey Billups,37.0,17.0,27
Richard Jefferson,38.0,17.0,8
Jerry Stackhouse,38.0,17.0,23
Mike Miller,38.0,17.0,25
Jason Kidd,40.0,17.0,10
Zach Randolph,38.0,17.0,18
Juwan Howard,40.0,17.0,11
Shawn Marion,37.0,16.0,10
Grant Hill,40.0,16.0,20
Antawn Jamison,38.0,16.0,7
Dwyane Wade,37.0,16.0,43
Al Harrington,35.0,16.0,15
Rasheed Wallace,38.0,15.0,7
David West,38.0,15.0,16
Marvin Williams,34.0,15.0,22
Shaquille O'Neal,39.0,15.0,19
Theo Ratliff,38.0,15.0,23
Luol Deng,34.0,15.0,25
Tracy McGrady,34.0,15.0,19
Shaun Livingston,34.0,14.0,26
Stephen Jackson,37.0,14.0,19
Allen Iverson,38.0,14.0,12
Caron Butler,37.0,14.0,14
Nick Collison,37.0,14.0,13
Antonio McDyess,37.0,14.0,9
Boris Diaw,36.0,14.0,12
Matt Barnes,37.0,14.0,9
Leandro Barbosa,37.0,14.0,15
Andrew Bogut,36.0,14.0,36
Brad Miller,36.0,14.0,11
Corey Maggette,34.0,14.0,22
Jose Calderon,38.0,14.0,21
Tayshaun Prince,37.0,14.0,5
Tony Battie,37.0,14.0,13
Al Jefferson,34.0,14.0,15
Richard Hamilton,37.0,14.0,19
Channing Frye,36.0,13.0,6
Steve Blake,37.0,13.0,9
DeShawn Stevenson,35.0,13.0,8
Carlos Boozer,36.0,13.0,7
Stephon Marbury,40.0,13.0,6
Kris Humphries,34.0,13.0,12
Jeff Foster,35.0,13.0,19
Earl Watson,35.0,13.0,7
Kevin Ollie,37.0,13.0,10
Joel Przybilla,34.0,13.0,22
Quentin Richardson,34.0,13.0,15
Keyon Dooling,34.0,13.0,24
Andrei Kirilenko,34.0,13.0,19
Jason Collins,35.0,13.0,14
Anthony Carter,38.0,13.0,9
Jason Richardson,34.0,13.0,8
Shane Battier,35.0,13.0,9
Zydrunas Ilgauskas,36.0,13.0,14
Michael Redd,34.0,12.0,10
Ronnie Price,35.0,12.0,14
Marcin Gortat,36.0,12.0,8
Willie Green,35.0,12.0,13
Raja Bell,37.0,12.0,10
David Lee,34.0,12.0,17
Antoine Walker,35.0,12.0,5
Jason Williams,35.0,12.0,14
DeSagana Diop,32.0,12.0,20
Matt Bonner,36.0,12.0,27
Luke Ridnour,35.0,12.0,9
James Posey,36.0,12.0,14
Brian Cardinal,36.0,12.0,30
Kevin Martin,33.0,12.0,14
Adonal Foyle,35.0,12.0,18
Eduardo Najera,36.0,12.0,28
Corey Brewer,34.0,12.0,6
Brian Scalabrine,34.0,11.0,25
Eddy Curry,30.0,11.0,20
Jared Jeffries,31.0,11.0,12
Chuck Hayes,33.0,11.0,2
Sean Marks,36.0,11.0,35
Dorell Wright,34.0,11.0,24
Darko Milicic,29.0,10.0,14
Malik Allen,36.0,10.0,18
Josh Howard,36.0,10.0,20
Martell Webster,30.0,10.0,13
Jason Maxiell,34.0,10.0,7
Aaron Brooks,35.0,10.0,9
Darren Collison,31.0,10.0,8
Ronny Turiaf,33.0,10.0,14
Mehmet Okur,33.0,10.0,15
Royal Ivey,32.0,10.0,11
Greg Ostertag,38.0,10.0,2
Luke Walton,33.0,10.0,11
Jarron Collins,32.0,10.0,5
Evan Turner,32.0,10.0,12
Roy Hibbert,31.0,9.0,10
Steve Francis,33.0,9.0,13
Anthony Parker,37.0,9.0,12
Chris Duhon,31.0,9.0,6
Melvin Ely,38.0,9.0,35
Ryan Gomes,33.0,8.0,6
Yao Ming,30.0,8.0,11
Trevor Booker,32.0,8.0,6
Jon Leuer,31.0,8.0,14
Darius Songaila,37.0,8.0,10
T.J. Ford,28.0,8.0,17
Andres Nocioni,37.0,8.0,3
Primoz Brezec,37.0,8.0,13
Earl Barron,36.0,8.0,10
Kevin Seraphin,30.0,7.0,7
Charlie Bell,37.0,7.0,12
Gary Neal,34.0,7.0,6
Tiago Splitter,33.0,7.0,14
Ime Udoka,35.0,7.0,2
Aaron Gray,30.0,7.0,14
Daniel Gibson,29.0,7.0,19
Stephen Graham,33.0,6.0,17
Bostjan Nachbar,37.0,6.0,5
Chris Quinn,30.0,6.0,14
Brandon Roy,28.0,6.0,5
Ronald Dupree,33.0,6.0,15
Mirza Teletovic,33.0,6.0,5
Fabricio Oberto,35.0,6.0,6
Dan Dickau,33.0,6.0,3
Vladimir Stepania,32.0,6.0,3
Kelenna Azubuike,31.0,5.0,6
Landry Fields,28.0,5.0,7
Travis Diener,32.0,5.0,34
Paul Davis,31.0,4.0,10
Mario West,31.0,4.0,4
Sean May,31.0,4.0,13
Pops Mensah-Bonsu,32.0,4.0,8
Kendall Marshall,26.0,4.0,2
Laron Profit,35.0,4.0,7
Pablo Prigioni,39.0,4.0,1
Jiri Welsch,38.0,4.0,1
Trajan Langdon,35.0,3.0,4
Greg Oden,28.0,3.0,11
Adam Morrison,29.0,3.0,8
Robbie Hummel,28.0,2.0,3
Coby Karl,32.0,2.0,10
Yaroslav Korolev,29.0,2.0,14
Raul Lopez,36.0,2.0,2
Julius Hodge,31.0,2.0,9
Nolan Smith,27.0,2.0,3
Travis Hansen,33.0,1.0,1
Sasha Kaun,31.0,1.0,7
