Date,Team,Acquired,Relinquished,Notes
 Date, Team, Acquired, Relinquished, Notes
2008-11-18,Warriors,,• DeMarcus Nelson,placed on IL
2008-11-18,Warriors,• Rob Kurz,,activated from IL
2008-11-19,Cavaliers,• Darnell Jackson,,activated from IL
2008-11-19,Hawks,,• Al Horford,placed on IL with sprained right ankle
2008-11-19,Hawks,• Thomas Gardner,,activated from IL
2008-11-19,Jazz,,• Brevin Knight,placed on IL with thigh injury
2008-11-19,Jazz,,• Jarron Collins,placed on IL with elbow injury
2008-11-19,Jazz,• Morris Almond,,activated from IL
2008-11-19,Mavericks,,• Josh Howard,placed on IL with sore left ankle
2008-11-19,Mavericks,• Devean George,,activated from IL
2008-11-19,Timberwolves,,• Kevin Ollie,placed on IL
2008-11-19,Timberwolves,• Brian Cardinal,,activated from IL
2008-11-21,76ers,,• Donyell Marshall,placed on IL
2008-11-21,76ers,• Theo Ratliff,,activated from IL
2008-11-21,Bucks,,• Dan Gadzuric,placed on IL
2008-11-21,Bucks,• Charlie Villanueva,,activated from IL
2008-11-21,Hawks,,• Thomas Gardner,placed on IL
2008-11-21,Hawks,• Al Horford,,activated from IL
2008-11-21,Hornets,,• Morris Peterson,placed on IL
2008-11-21,Hornets,• Ryan Bowen,,activated from IL
2008-11-21,Jazz,,• Carlos Boozer,placed on IL with strained left quadricep
2008-11-21,Jazz,• Brevin Knight,,activated from IL
2008-11-21,Knicks,,• Eddy Curry,placed on IL
2008-11-21,Magic,,• Adonal Foyle,placed on IL
2008-11-21,Magic,• Mickael Pietrus,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2008-11-21,Timberwolves,,• Rashad McCants,placed on IL with back spasms
2008-11-21,Timberwolves,• Mark Madsen,,activated from IL
2008-11-21,Wizards,,• Oleksiy Pecherov,placed on IL
2008-11-21,Wizards,• Dominic McGuire,,activated from IL
2008-11-22,Cavaliers,,• Darnell Jackson,placed on IL
2008-11-22,Clippers,,• Mardy Collins,placed on IL
2008-11-22,Clippers,,• Zach Randolph,placed on IL
2008-11-22,Clippers,• DeAndre Jordan,,activated from IL
2008-11-22,Clippers,• Paul Davis,,activated from IL
2008-11-22,Knicks,,• Stephon Marbury,placed on IL
2008-11-22,Magic,,• Hidayet Turkoglu / Hedo Turkoglu,placed on IL with flu
2008-11-22,Magic,,• Marcin Gortat,placed on IL
2008-11-22,Magic,• Adonal Foyle,,activated from IL
2008-11-22,Magic,• Jeremy Richardson,,activated from IL
2008-11-22,Knicks,• Danilo Gallinari,,activated from IL
2008-11-23,Warriors,,• Jamal Crawford,placed on IL
2008-11-24,Bucks,,• Luke Ridnour,placed on IL with bruised knee
2008-11-24,Bucks,• Dan Gadzuric,,activated from IL
2008-11-24,Hornets,,• Ryan Bowen,placed on IL
2008-11-24,Hornets,• Sean Marks,,activated from IL
2008-11-24,Magic,,• Jeremy Richardson,placed on IL
2008-11-24,Magic,,• Keith Bogans,placed on IL with broken thumb
2008-11-24,Magic,• Hidayet Turkoglu / Hedo Turkoglu,,activated from IL
2008-11-24,Magic,• Marcin Gortat,,activated from IL
2008-11-24,Spurs,• Emanuel Ginobili / Manu Ginobili,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2008-11-24,Bobcats,,• Dwayne Jones,placed on IL
2008-11-25,Cavaliers,,• Lorenzen Wright,placed on IL
2008-11-25,Cavaliers,• Darnell Jackson,,activated from IL
2008-11-25,Knicks,• Al Harrington,,activated from IL
2008-11-25,Nets,,• Eduardo Najera,placed on IL with sore back
2008-11-25,Nets,• Stromile Swift,,activated from IL
2008-11-25,Warriors,,• Marcus Williams (D.),placed on IL
2008-11-25,Warriors,• Jamal Crawford,,activated from IL
2008-11-25,Wizards,,• Antonio Daniels,placed on IL with sore right knee
2008-11-25,Wizards,• Oleksiy Pecherov,,activated from IL
2008-11-26,Bucks,,• Andrew Bogut,placed on IL with bone bruise in left knee
2008-11-26,Bucks,• Luke Ridnour,,activated from IL
2008-11-26,Clippers,,• Brian Skinner,placed on IL with virus
2008-11-26,Clippers,,• Ricky Davis,placed on IL with left knee tendinitis
2008-11-26,Clippers,• Mardy Collins,,activated from IL
2008-11-26,Clippers,• Zach Randolph,,activated from IL
2008-11-26,Heat,• Shaun Livingston,,activated from IL
2008-11-26,Jazz,,• Brevin Knight,placed on IL with thigh injury
2008-11-26,Jazz,• Deron Williams,,activated from IL
2008-11-26,Magic,,• Jameer Nelson,placed on IL with strained right hip flexor
2008-11-26,Magic,• Jeremy Richardson,,activated from IL
2008-11-26,Nuggets,,• Sonny Weems,placed on IL
2008-11-26,Nuggets,• Chris Andersen,,activated from IL
2008-11-26,Pistons,,• Alex Acker,placed on IL
2008-11-26,Pistons,• Walter Sharpe,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2008-11-26,Rockets,,• Tracy McGrady,placed on IL witwh sore left knee
2008-11-26,Rockets,• Shane Battier,,activated from IL
2008-11-26,Timberwolves,,• Brian Cardinal,placed on IL
2008-11-26,Timberwolves,,• Mark Madsen,placed on IL
2008-11-26,Timberwolves,• Calvin Booth,,activated from IL
2008-11-26,Timberwolves,• Rashad McCants,,activated from IL
2008-11-27,Hornets,• Ryan Bowen,,activated from IL
2008-11-27,Wizards,,• Oleksiy Pecherov,placed on IL
2008-11-27,Wizards,• Antonio Daniels,,activated from IL
2008-11-28,Bobcats,,• Jared Dudley,placed on IL
2008-11-28,Bobcats,• Jason Richardson,,activated from IL
2008-11-28,Heat,,• Shaun Livingston,placed on IL
2008-11-28,Heat,• Jamaal Magloire,,activated from IL
2008-11-28,Hornets,,• Ryan Bowen,placed on IL
2008-11-28,Kings,,• Kenny Thomas,placed on IL with calf injury
2008-11-28,Kings,• Francisco Garcia,,activated from IL
2008-11-28,Lakers,,• Chris Mihm,placed on IL with sprained left ankle
2008-11-28,Lakers,• Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga,,activated from IL
2008-11-28,Pacers,,• Travis Diener,placed on IL with sore left foot
2008-11-28,Pacers,• Maceo Baston,,activated from IL
