Date,Team,Acquired,Relinquished,Notes
 Date, Team, Acquired, Relinquished, Notes
2012-02-20,Rockets,,• Hasheem Thabeet,placed on IL with back injury
 Date, Team, Acquired, Relinquished, Notes
2012-02-28,Cavaliers,• Anthony Parker,,activated from IL
2012-02-28,Celtics,,• E'Twaun Moore,placed on IL
2012-02-28,Celtics,• Brandon Bass,,activated from IL
2012-02-28,Clippers,,• Travis Leslie,placed on IL (F)
2012-02-28,Kings,,• Tyler Honeycutt,placed on IL
2012-02-28,Kings,• John Salmons,,activated from IL
2012-02-28,Nets,,• Mehmet Okur,placed on IL (F)
2012-02-28,Nets,• Kris Humphries,,activated from IL
2012-02-28,Raptors,,• Solomon Alabi,placed on IL with upper respiratory infection
2012-02-28,Raptors,• Linas Kleiza,,activated from IL
2012-02-28,Warriors,,• Jeremy Tyler,placed on IL (F) (date approximate)
2012-02-29,Blazers,,• Joel Przybilla,placed on IL
2012-02-29,Bobcats,,• Cory Higgins,placed on IL
2012-02-29,Bobcats,,• Eduardo Najera,placed on IL
2012-02-29,Bobcats,• Byron Mullens / B.J. Mullens,,activated from IL
2012-02-29,Bobcats,• Gerald Henderson Jr.,,activated from IL
2012-02-29,Hawks,• Joe Johnson,,activated from IL
2012-02-29,Knicks,,• Bill Walker,placed on IL with left elbow injury
2012-02-29,Knicks,,• Jerome Jordan,placed on IL
2012-02-29,Knicks,• Iman Shumpert,,activated from IL
2012-02-29,Knicks,• Josh Harrellson,,activated from IL
2012-02-29,Lakers,,• Darius Morris,placed on IL
2012-02-29,Magic,,• Quentin Richardson,placed on IL with Achilles tendon injury
2012-02-29,Magic,• Jameer Nelson,,activated from IL
2012-02-29,Spurs,,• Kawhi Leonard,placed on IL with strained right calf
 Date, Team, Acquired, Relinquished, Notes
2012-02-29,Spurs,• T.J. Ford,,activated from IL
2012-02-29,Spurs,• Tiago Splitter,,activated from IL
2012-02-29,Timberwolves,,• Kevin Love,placed on IL with rib injury / flu (CBC)
2012-02-29,Timberwolves,• Anthony Randolph,,activated from IL
2012-02-29,Lakers,• Devin Ebanks,,activated from IL
2012-03-01,Blazers,,• Kurt Thomas,placed on IL with concussion
2012-03-01,Blazers,• Joel Przybilla,,activated from IL
2012-03-01,Clippers,,• Travis Leslie,placed on IL (P)
2012-03-01,Heat,,• Mickell Gladness,placed on IL
2012-03-01,Heat,• Terrel Harris,,activated from IL
2012-03-01,Timberwolves,,• Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with calf injury
2012-03-01,Timberwolves,• Kevin Love,,activated from IL
2012-03-02,76ers,,• Spencer Hawes,placed on IL with strained left Achilles tendon
2012-03-02,Bobcats,,• Bismack Biyombo,placed on IL with strained left shoulder
2012-03-02,Bobcats,• Eduardo Najera,,activated from IL
2012-03-02,Celtics,,• Ray Allen,placed on IL with illness/flu
