,age,season,Notes,position_digtt,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,name_digtt
0,37,18,50.0,5,187.96,82.55,69.67,15.37,2.66,5.59,7.11,0.01,0.09,0.25,0.54,0.31,157
1,41,16,44.0,5,198.12,93.27,66.06,13.15,3.48,3.78,10.23,0.03,0.13,0.24,0.58,0.24,98
2,37,16,43.0,5,193.04,98.66,65.88,21.83,4.64,5.39,4.0,0.04,0.11,0.31,0.55,0.28,46
3,36,14,36.0,0,213.36,116.96,50.43,8.6,8.19,2.04,3.07,0.1,0.25,0.16,0.55,0.12,10
4,36,11,35.0,3,208.28,113.4,20.91,2.45,1.7,0.15,-14.07,0.06,0.19,0.18,0.5,0.03,139
5,38,9,35.0,1,208.28,118.29,41.67,4.51,2.71,0.58,-2.79,0.07,0.14,0.17,0.5,0.07,106
6,32,5,34.0,5,185.42,79.38,35.8,3.78,1.04,1.78,-8.5,0.01,0.08,0.14,0.5,0.22,160
7,36,12,30.0,2,203.2,110.37,38.0,3.6,1.89,0.82,3.62,0.07,0.14,0.15,0.52,0.11,20
8,36,12,28.0,2,203.2,105.95,51.58,4.48,3.42,0.75,1.05,0.08,0.15,0.13,0.51,0.07,50
9,37,17,27.0,5,190.5,92.48,61.35,14.05,2.71,4.91,2.86,0.02,0.09,0.21,0.56,0.26,26
10,36,12,27.0,1,208.28,107.73,66.0,5.59,2.85,0.67,5.99,0.05,0.15,0.15,0.59,0.06,104
11,40,19,27.0,1,211.76,116.29,73.26,18.89,10.77,3.01,9.75,0.1,0.26,0.27,0.55,0.16,155
12,34,14,26.0,5,200.66,83.78,59.5,6.34,2.41,3.04,0.4,0.03,0.1,0.16,0.53,0.22,143
13,38,17,25.0,6,203.2,98.46,60.71,9.71,4.05,2.42,-0.89,0.03,0.16,0.16,0.57,0.15,109
14,34,11,25.0,2,205.74,107.21,47.27,2.81,1.79,0.77,1.46,0.04,0.13,0.13,0.48,0.11,21
15,34,15,25.0,2,205.57,100.3,60.13,13.45,5.51,2.1,0.68,0.05,0.13,0.19,0.53,0.11,96
16,34,13,24.0,5,190.89,88.1,56.0,6.56,1.15,1.98,-0.94,0.01,0.06,0.19,0.52,0.19,85
17,34,11,24.0,4,204.82,93.81,49.91,6.79,3.31,1.27,-4.99,0.03,0.17,0.18,0.51,0.11,45
