name,age,season
Matt Walsh,32,1
Rob Kurz,28,1
Sasha Kaun,31,1
Travis Hansen,33,1
Nolan Smith,27,2
Julius Hodge,31,2
Yaroslav Korolev,29,2
Coby Karl,32,2
Robbie Hummel,28,2
Adam Morrison,29,3
Greg Oden,28,3
Trajan Langdon,35,3
Sean May,31,4
Luke Jackson,31,4
Mario West,31,4
Kendall Marshall,26,4
Paul Davis,31,4
Pops Mensah-Bonsu,32,4
Laron Profit,35,4
Pablo Prigioni,39,4
Travis Diener,32,5
Landry Fields,28,5
Kelenna Azubuike,31,5
Chris Quinn,30,6
Brandon Roy,28,6
Stephen Graham,33,6
Larry Sanders,26,6
Ronald Dupree,33,6
Fabricio Oberto,35,6
Dan Dickau,33,6
Daniel Gibson,29,7
Aaron Gray,30,7
Robert Traylor,34,7
Ime Udoka,35,7
Tiago Splitter,33,7
Gary Neal,34,7
Charlie Bell,37,7
Darius Songaila,37,8
Dee Brown,31,8
Jon Leuer,31,8
Trevor Booker,32,8
Yao Ming,30,8
Earl Barron,36,8
Ryan Gomes,33,8
Roy Hibbert,31,9
Anthony Parker,37,9
Chris Duhon,31,9
Steve Francis,33,9
Melvin Ely,38,9
Josh Howard,36,10
Martell Webster,30,10
Jason Maxiell,34,10
Aaron Brooks,35,10
Darren Collison,31,10
Ronny Turiaf,33,10
Evan Turner,32,10
Mehmet Okur,33,10
Royal Ivey,32,10
Luke Walton,33,10
Jarron Collins,32,10
Greg Ostertag,38,10
Malik Allen,36,10
Eddy Curry,30,11
Jared Jeffries,31,11
Brian Scalabrine,34,11
Chuck Hayes,33,11
Sean Marks,36,11
Dorell Wright,34,11
Adonal Foyle,35,12
Kevin Martin,33,12
Brian Cardinal,36,12
James Posey,36,12
Luke Ridnour,35,12
Matt Bonner,36,12
DeSagana Diop,32,12
Corey Brewer,34,12
Jason Williams,35,12
Michael Redd,34,12
David Lee,34,12
Raja Bell,37,12
Willie Green,35,12
Marcin Gortat,36,12
Ronnie Price,35,12
Antoine Walker,35,12
Channing Frye,36,13
Steve Blake,37,13
DeShawn Stevenson,35,13
Carlos Boozer,36,13
Stephon Marbury,40,13
Mo Williams,35,13
Kris Humphries,34,13
Jeff Foster,35,13
Earl Watson,35,13
Kevin Ollie,37,13
Joel Przybilla,34,13
Quentin Richardson,34,13
Keyon Dooling,34,13
Andrei Kirilenko,34,13
Jason Collins,35,13
Anthony Carter,38,13
Jason Richardson,34,13
Shane Battier,35,13
Stephen Jackson,37,14
Allen Iverson,38,14
Caron Butler,37,14
Nick Collison,37,14
Antonio McDyess,37,14
Boris Diaw,36,14
Matt Barnes,37,14
Shaun Livingston,34,14
Andrew Bogut,36,14
Brad Miller,36,14
Corey Maggette,34,14
Leandro Barbosa,37,14
Tayshaun Prince,37,14
Tony Battie,37,14
Amar'e Stoudemire,33,14
Al Jefferson,34,14
James Jones,36,14
Richard Hamilton,37,14
Marvin Williams,34,15
Shaquille O'Neal,39,15
Theo Ratliff,38,15
Luol Deng,34,15
Rasheed Wallace,38,15
David West,38,15
Tracy McGrady,34,15
Kenyon Martin,37,15
Al Harrington,35,16
Zaza Pachulia,35,16
Dwyane Wade,37,16
Antawn Jamison,38,16
Grant Hill,40,16
Shawn Marion,37,16
Richard Jefferson,38,17
Elton Brand,37,17
Jerry Stackhouse,38,17
Chauncey Billups,37,17
Juwan Howard,40,17
Zach Randolph,38,17
Jason Kidd,40,17
Metta World Peace,37,17
Mike Miller,38,17
Nazr Mohammed,39,18
Derek Fisher,39,18
Steve Nash,41,18
Tony Parker,37,18
Ray Allen,41,18
Jason Terry,42,19
Paul Pierce,39,19
Tim Duncan,40,19
Kobe Bryant,37,20
Kevin Garnett,40,20
Dirk Nowitzki,40,21
Vince Carter,43,22
Rasho Nesterovic,35,12
Zydrunas Ilgauskas,36,13
Peja Stojakovic,34,13
T.J. Ford,28,8
Eduardo Najera,36,12
Vladimir Stepania,32,6
Darko Milicic,29,10
Hedo Turkoglu,36,15
Kosta Perovic,30,1
Raul Lopez,36,2
Andres Nocioni,37,8
Primoz Brezec,37,8
Bostjan Nachbar,37,6
Jiri Welsch,38,4
PJ Hairston,25,2
Manu Ginobili,41,16
Mike Dunleavy,38,15
Mirza Teletovic,33,6
Gerald Henderson,31,8
Jose Calderon,38,14
Kevin Seraphin,30,7
