player_name,season
Vince Carter,22
Dirk Nowitzki,21
Kevin Garnett,20
Kobe Bryant,20
Tyson Chandler,19
Paul Pierce,19
Tim Duncan,19
Jason Terry,19
Jamal Crawford,19
Steve Nash,18
Derek Fisher,18
Pau Gasol,18
Nazr Mohammed,18
Jermaine O'Neal,18
Tony Parker,18
Ray Allen,18
Chauncey Billups,17
Carmelo Anthony,17
Elton Brand,17
Mike Miller,17
Andre Miller,17
Nene,17
Juwan Howard,17
Kurt Thomas,17
Joe Johnson,17
Metta World Peace,17
LeBron James,17
Richard Jefferson,17
Jason Kidd,17
Udonis Haslem,17
Kyle Korver,17
Marcus Camby,17
Jerry Stackhouse,17
Zach Randolph,17
Dwyane Wade,16
Manu Ginobili,16
Antawn Jamison,16
Andre Iguodala,16
Al Harrington,16
Dwight Howard,16
Erick Dampier,16
Zaza Pachulia,16
Ben Wallace,16
Rashard Lewis,16
Grant Hill,16
Trevor Ariza,16
Shawn Marion,16
JR Smith,15
David West,15
Chris Paul,15
Mike Dunleavy,15
Chris Andersen,15
Joe Smith,15
Shaquille O'Neal,15
Rasheed Wallace,15
Marvin Williams,15
Hedo Turkoglu,15
CJ Miles,15
Theo Ratliff,15
Lou Williams,15
Kenyon Martin,15
Devin Harris,15
Tracy McGrady,15
Luol Deng,15
LaMarcus Aldridge,14
Boris Diaw,14
Lamar Odom,14
Jose Calderon,14
Corey Maggette,14
Tayshaun Prince,14
Shaun Livingston,14
Andrew Bogut,14
Brad Miller,14
Tony Allen,14
Brian Skinner,14
Thabo Sefolosha,14
Lindsey Hunter,14
James Jones,14
Caron Butler,14
Jameer Nelson,14
Mike Bibby,14
Matt Barnes,14
Leandro Barbosa,14
Antonio McDyess,14
Stephen Jackson,14
JJ Redick,14
J.J. Barea,14
Michael Finley,14
Kyle Lowry,14
Tony Battie,14
Allen Iverson,14
Gerald Wallace,14
Rudy Gay,14
Drew Gooden,14
Richard Hamilton,14
Kendrick Perkins,14
Raymond Felton,14
Amir Johnson,14
Paul Millsap,14
Nick Collison,14
Amar'e Stoudemire,14
Rajon Rondo,14
Al Jefferson,14
Jared Dudley,13
Antonio Daniels,13
Thaddeus Young,13
Marco Belinelli,13
John Salmons,13
Kirk Hinrich,13
Reggie Evans,13
Channing Frye,13
Jarrett Jack,13
Earl Boykins,13
Earl Watson,13
Bruce Bowen,13
Baron Davis,13
DeShawn Stevenson,13
Jason Richardson,13
Keyon Dooling,13
Joel Przybilla,13
Lorenzen Wright,13
Chris Bosh,13
Beno Udrih,13
Kevin Ollie,13
Jason Collins,13
Carlos Boozer,13
Peja Stojakovic,13
Quentin Richardson,13
Steve Blake,13
Rasual Butler,13
